Weeks,Location,Day,Start Time,End Time
1,FIP 138,Tue;Wed;Thu,9:30,17:00
16,ART 102,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
39,ART 208,Mon;Tue;Wed,9:00,17:00
15,FIP 204,Sat,9:00,17:00
17,EME 1121,Wed;Sat,17:30,21:30
38,ART 112,Sat,12:00,12:30
16,ART 281,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
18,FIP 204,Mon,12:30,21:30
16,ART 106,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
21-33,ART 110,Wed,15:30,17:00
15-Mar,SCI 126,Fri,13:30,14:30
49,EME 2181,Mon;Tue;Wed;Thu;Fri,9:00,16:00
51-52,LIB L304,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
14,FIP 124,Thu,16:30,18:30
10,EME 1121,Sat,7:00,17:00
24,EME 1151,Fri,17:00,20:00
28,EME 2202,Wed,8:30,16:30
15-May,ART 210,Fri,13:00,14:30
25,ART 210,Mon,17:00,21:30
24,EME 1121,Fri,19:00,21:00
34,EME 2205,Tue,8:30,12:30
26,FIP 239,Wed,7:00,16:30
15-Mar,ART 219,Mon,9:30,12:30
16,EME 2181,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
20-25;27-33,ART 376,Mon;Wed;Fri,12:30,13:30
34-36,ART 206,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,SCI 396,Mon,17:30,18:30
34-36,ART 218,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
35,EME 2111,Wed,12:30,16:30
35,ART 214,Thu,17:30,21:30
27,FIP 124,Wed,19:00,21:00
10,SCI 337,Wed,10:00,11:30
22,ART 206,Sat,7:00,18:00
15-Mar,ART 215,Tue,15:30,17:30
16,LIB 303,Mon;Tue;Wed;Thu;Fri;Sat;Sun,17:00,19:00
39-44,EME 2111,Mon;Thu,13:00,16:30
13,EME 1101,Fri,13:00,14:00
26,SCI 247,Mon;Tue;Wed;Thu;Fri,8:00,16:00
34,ASC 165,Tue,12:30,16:30
1,ART 386,Thu;Fri;Sat;Sun,7:00,22:00
17,ART 366,Fri,8:30,12:00
15-Mar,FIP 250,Mon;Wed;Fri,8:30,9:30
48,EME 2202,Mon;Tue;Wed;Thu;Fri,9:00,16:00
45;52,SCI 337,Mon;Tue;Wed;Thu;Fri,7:00,22:00
39-44,ART 281,Tue;Thu,13:00,16:30
15-May,ART 104,Thu,15:30,17:00
17,ART 208,Mon,16:00,21:00
21-33,FIP 239,Mon,18:30,21:00
28,ART 204,Tue,16:30,20:00
13,ART 108,Fri,14:30,16:00
34-36,ART 102,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
22,ART 366,Sat,7:00,18:00
32,EME 1121,Sun,8:00,19:00
24,ART 104,Sat,10:00,15:00
20-25;27-33,SCI 337,Mon,8:30,12:30
15-Aug,ART 376,Mon,17:30,20:30
6,ART 203,Sun,8:00,19:00
5,EME 1202,Sat,12:00,13:00
2,ART 102,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
46-52,SCI 128,Tue;Wed,17:00,21:30
17,ART 386,Thu,17:30,21:30
1,ART 108,Thu;Fri;Sat;Sun,7:00,22:00
34-36,ART 104,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
21-24,LIB 303,Mon,15:30,17:30
18,FIP 124,Mon,12:00,19:00
26,EME 1202,Wed,7:00,16:30
6,ART 210,Wed,9:30,11:30
17,FIP 140,Tue,8:30,15:30
38,ART 112,Sat,10:00,12:00
20-25;27-33,SCI 396,Tue;Thu,12:30,14:00
34-36,ART 218,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
31,EME 1121,Sun,7:00,22:00
9,ART 208,Thu,17:00,21:00
20-25;27-33,FIP 121,Tue;Thu,12:30,14:00
17,FIP 204,Tue,18:00,20:30
15-Mar,EME 2202,Thu,10:30,12:30
17,FIP 124,Mon;Tue;Wed;Thu;Fri;Sat,7:00,14:00
15-Apr,ART 204,Mon,9:00,11:00
25,FIP 140,Wed,14:00,16:00
25,ART 214,Wed,17:00,18:00
1,ART 210,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
32,SCI 236,Wed,14:00,15:00
16,EME 2181,Tue,8:30,12:30
20-25;27-33,EME 1101,Thu,17:30,20:30
35,EME 0050,Wed,17:30,21:30
10,FIP 139,Thu,11:00,13:00
36,FIP 133,Mon,8:30,12:30
15-Mar,SCI 337,Tue;Thu,12:30,14:00
16,ART 114,Mon,14:30,16:30
34,SCI 396,Tue,8:30,12:30
28,ART 374,Thu,13:00,14:00
15-Mar,EME 2205,Wed,13:30,14:30
20-25;27-33,ART 206,Tue;Thu,12:30,14:00
17-18,ART 281,Mon;Tue;Wed;Thu;Fri;Sat;Sun,15:00,17:00
2,ART 365,Mon,7:00,22:00
20;22;24;28;30;32,EME 2205,Tue,15:30,17:30
16,ART 202,Thu,16:30,17:30
27,ART 206,Wed,17:00,20:00
21,ART 382,Fri,15:00,16:30
16,ART 104,Mon;Tue;Thu;Sat,7:00,13:00
35,FIP 140,Fri,12:30,16:30
20-25;27-33,EME 1153,Mon;Wed,14:00,15:30
20-25;27-33,SCI 396,Mon;Wed,14:00,15:30
34,ART 214,Wed,8:30,12:30
20-25;27-33,ART 281,Tue;Thu,11:00,12:30
8;10,ART 214,Sat,8:00,10:00
31,EME 1101,Sun,7:00,22:00
29,SCI 247,Fri,10:00,12:00
34-36,ART 110,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,EME 1101,Wed,14:00,15:30
20-25;27-33,ART 103,Wed;Fri,12:30,14:00
34-36,ART 206,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
8,ART 219,Fri,8:30,10:30
20-25;27-33,ART 366,Mon;Wed,9:30,10:30
29,ART 110,Sat,9:00,15:00
4;6;8;10;12;14,EME 2205,Wed,19:30,21:30
17,SCI 234,Mon,12:30,18:00
15-Jul,LIB L306,Fri,17:00,22:00
45;52,SCI 247,Mon;Tue;Wed;Thu;Fri,7:00,22:00
18,ART 386,Mon,8:30,12:30
46-48,EME 1151,Mon;Tue;Wed;Thu;Fri,9:00,12:00
14,ART 108,Sat,7:00,16:00
27,LIB L306,Tue,14:00,16:00
20-25;27-33,ASC 130,Mon,8:00,9:30
22,ART 108,Wed,11:30,12:30
1,ART 214,Thu;Fri;Sat;Sun,7:00,22:00
18,ART 102,Mon,9:00,15:00
35,LIB 303,Sat,17:30,21:30
36,EME 0050,Tue,8:30,12:30
34-36,ART 112,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
17,ART 102,Sat,12:30,18:00
7,FIP 250,Mon,11:00,12:00
15,ART 219,Sat,9:00,17:00
36,ART 208,Tue,17:30,21:30
16,ART 366,Sun,12:30,13:30
20-25;27-33,ART 104,Wed,17:00,18:30
15-May,ART 104,Mon,16:00,17:30
34-36,ART 202,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
35,SCI 247,Thu,17:30,21:30
6,SCI 337,Fri,12:30,16:00
36,ART 366,Wed,12:30,16:30
36,ASC 165,Mon,8:30,12:30
38,ART 203,Sat,10:00,12:00
27,ART 103,Wed,17:00,20:00
20-25;27-33,EME 1153,Mon;Wed,8:00,9:30
20-25;27-33,EME 2111,Tue;Thu,11:00,12:30
23,EME 2205,Sun,12:30,18:30
22,ART 114,Sat,7:00,18:00
38,ART 106,Sat,16:30,17:30
34,EME 1121,Wed,8:30,12:30
3,ART 218,Wed;Thu;Fri;Sat;Sun,18:30,22:00
10-13;15,EME 2205,Fri,16:30,17:00
15,EME 2181,Sat,8:30,15:30
15-Mar,ASC 130,Tue;Thu,14:00,15:30
15-Mar,EME 0050,Mon;Wed;Fri,11:30,12:30
2,EME 1101,Mon,15:00,16:00
46-51,SCI 337,Tue;Wed;Fri,8:30,11:00
15-Mar,ART 203,Mon;Wed,12:30,14:00
35,ART 374,Wed,17:30,21:30
20-25;27-33,ART 112,Mon;Wed;Fri,11:30,12:30
52,ART 376,Mon;Tue;Wed;Thu;Fri,7:00,22:00
16,ART 102,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
38,ART 203,Sat,10:00,12:00
9,ART 112,Wed,16:30,17:30
34,FIP 140,Wed,8:30,12:30
36,EME 0050,Tue,17:30,21:30
38,ART 112,Sat,14:00,16:30
36,EME 2205,Mon,8:30,12:30
5,ART 374,Fri,13:00,14:00
15,ART 208,Sat,9:00,17:00
15-Mar,ART 202,Thu,8:30,10:30
35,ART 215,Fri,12:30,16:30
30,EME 1121,Sat,7:00,18:00
8,LIB L306,Fri,9:00,12:00
20-25;27-33,EME 0050,Tue;Thu,9:30,11:00
7,FIP 239,Thu,12:30,14:30
24,SCI 337,Tue,14:00,15:30
34-36,ART 102,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
22-33,LIB L304,Fri,17:00,22:00
35,LIB L317,Fri,17:30,21:30
22-32,LIB L312,Sat,12:00,18:00
3,LIB L305,Wed,8:00,9:00
51-52,LIB L306,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
4,ART 112,Wed,10:30,12:30
29,LIB 303,Mon,13:00,14:30
34,ASC 130,Tue,8:30,12:30
16,ART 102,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
34,ASC 130,Wed,8:30,12:30
20-25;27-33,ASC 140,Tue;Thu,11:00,12:30
34-36,ART 219,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,ART 365,Mon;Wed;Fri,8:30,9:30
38,ART 208,Mon;Tue;Wed;Thu;Fri;Sat,9:00,17:00
35,ART 376,Tue,8:30,12:30
20-25;27-33,ART 203,Mon;Wed,15:30,17:00
16,ART 106,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
34-36,FIP 139,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
51-52,LIB L304,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
29,ART 210,Sat,9:00,15:00
52,ART 366,Mon;Tue;Wed;Thu;Fri,7:00,22:00
38,ART 206,Sat,12:00,12:30
23,SCI 337,Thu,13:30,15:30
25,SCI 126,Mon,8:00,9:30
34-36,ART 110,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
9,ART 208,Wed,17:00,20:00
38-46,EME 2202,Thu,16:00,17:30
1,FIP 204,Mon,8:00,20:00
46-51,ART 386,Tue;Wed;Fri,14:30,17:00
34-36,ART 110,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,EME 2141,Tue;Thu,14:00,15:30
1,ART 103,Thu;Fri;Sat;Sun,7:00,22:00
5,ART 102,Mon,9:30,10:30
35,ASC 140,Thu,8:30,12:30
3;5;7;9;11;13;15,EME 2205,Mon,15:00,17:00
25,FIP 133,Mon,7:30,8:00
2,FIP 133,Thu,8:30,12:30
33-44,EME 1202,Tue,17:00,20:00
10,FIP 124,Fri,8:30,10:00
17,ART 215,Mon;Tue;Wed,17:30,21:30
17,ART 374,Wed,16:30,21:30
20-25;27-33,ART 110,Tue;Thu,9:30,11:00
46-48,EME 1151,Mon;Tue;Wed;Thu;Fri,13:00,16:00
11,ART 210,Tue,12:30,13:30
27,FIP 124,Fri,15:30,22:00
31,EME 1121,Sat,10:00,22:00
8,LIB 303,Fri,12:30,18:00
34,ART 214,Thu,8:30,12:30
35,FIP 250,Wed,12:30,16:30
34-36,ART 104,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15,EME 1101,Thu,17:30,20:30
20-25;27-33,ASC 165,Wed,17:00,18:00
17,ART 102,Fri,16:00,21:30
1,ART 104,Wed;Thu;Fri;Sat;Sun,7:00,22:00
34-36,ART 106,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
34,ASC 130,Wed,17:30,21:30
20-25;27-33,SCI 126,Thu,15:30,17:30
6,FIP 121,Sat,11:00,19:00
1,FIP 204,Thu,13:00,21:00
34-36,ART 102,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
17,EME 2181,Mon,8:30,12:30
34,FIP 140,Thu,8:30,12:30
1,ART 202,Thu;Fri;Sat;Sun,7:00,22:00
16,EME 2141,Thu,18:00,21:00
9,EME 0050,Sat,15:30,16:30
17,ART 208,Mon,16:00,21:00
35,EME 0050,Tue,17:30,21:30
25,ART 382,Fri,16:30,18:00
15-Mar,SCI 128,Fri,12:30,14:30
20-25;27-33,FIP 129,Thu,9:30,10:30
15-Mar,ART 102,Wed,11:30,12:30
52,ART 374,Mon;Tue;Wed;Thu;Fri,7:00,22:00
16,LIB 303,Wed;Thu;Fri;Sat;Sun,15:00,17:00
1,ART 219,Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,EME 1202,Mon;Wed;Fri,10:30,11:30
24,ART 202,Fri,12:30,15:30
10,EME 2181,Fri,15:30,22:00
24,ART 103,Mon,12:30,13:30
1,ART 103,Thu;Fri;Sat;Sun,7:00,22:00
25,FIP 139,Thu,15:30,18:30
15,ART 103,Mon,11:30,13:30
34,ART 215,Mon,8:30,12:30
34-36,ART 106,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
24,ART 110,Sun,14:00,16:00
38,ART 204,Sat,12:00,12:30
10,EME 1121,Thu,16:00,18:00
20-25;27-33,ART 208,Tue,12:00,13:30
25,EME 0050,Fri,17:00,22:00
27,ART 102,Fri,8:30,10:00
9,FIP 138,Wed,18:00,22:00
51-52,LIB L305,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
3;5;7;9;11;13;15,ART 206,Wed,11:30,12:30
36,ART 366,Fri,8:30,12:30
15-Mar,ART 215,Fri,13:30,15:30
33,ART 374,Fri,9:00,13:00
15-Mar,LIB L312,Tue;Thu,11:00,12:30
26,EME 2205,Wed,7:00,16:30
14,ART 214,Sat,7:00,16:00
37-52,LIB L312,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
16-17,ART 218,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,FIP 250,Mon;Wed,12:30,14:00
38,ART 206,Sat,12:00,12:30
15-Mar,EME 1121,Wed,8:00,9:30
16,ASC 165,Thu,18:00,20:00
36,EME 0050,Thu,17:30,21:30
36,EME 0050,Wed,17:30,21:30
8,EME 0050,Tue,18:30,20:30
34-36,ART 106,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
5,EME 1202,Mon,19:00,21:30
13,ART 382,Thu,17:00,17:30
2,ART 219,Mon,7:00,22:00
30,EME 1153,Sat,7:00,18:00
20-25;27-33,ART 215,Wed,18:30,21:30
45;52,SCI 333,Mon;Tue;Wed;Thu;Fri,7:00,22:00
17,ART 382,Fri,16:00,21:30
2,SCI 333,Mon,9:30,11:30
15-Mar,SCI 128,Fri,12:30,14:30
17,FIP 204,Mon;Tue;Fri,8:30,12:30
27,LIB L312,Wed,10:30,12:00
15,ART 210,Sat,9:00,17:00
34,EME 2205,Tue,12:30,16:30
1,ART 219,Thu;Fri;Sat;Sun,7:00,22:00
36,LIB L317,Tue,17:30,21:30
23-33,ART 374,Mon,12:30,13:30
29,ART 110,Sat,9:00,15:00
16,ART 102,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
20-25;27-33,LIB L304,Tue;Thu,9:30,11:00
38,ART 112,Sat,14:00,16:30
20-25;27-33,EME 2205,Wed,10:30,12:30
39,ART 208,Mon;Tue;Wed,9:00,17:00
16-18,FIP 239,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
7,SCI 333,Tue,16:00,18:00
28,EME 1101,Sat,7:00,19:00
5,ART 104,Fri,15:30,16:30
12,ART 382,Wed,15:30,17:00
1,ART 281,Thu;Fri;Sat;Sun,7:00,22:00
24,EME 2181,Fri,17:00,22:00
25,ART 206,Fri,13:30,16:00
13,EME 0050,Sat,8:00,17:00
20-25;27-33,EME 1101,Tue;Thu,14:00,15:30
34,ART 366,Tue,17:30,21:30
35,SCI 396,Thu,8:30,12:30
29,SCI 337,Thu,14:00,15:00
16,ART 102,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
34,ART 214,Thu,12:30,16:30
16,SCI 236,Tue;Wed;Thu;Fri,9:00,18:00
34,ASC 140,Thu,17:30,21:30
17,SCI 236,Wed,9:30,15:00
39,ART 114,Sun,7:00,22:00
5;9;14,ART 108,Mon,17:00,21:00
7,FIP 139,Thu,17:00,19:00
38,ART 374,Sat,14:00,16:30
35,EME 0050,Fri,12:30,16:30
20-25;27-33,SCI 396,Mon;Wed;Fri,9:30,10:30
35,FIP 204,Sat,12:30,16:30
27,FIP 250,Sat,10:00,18:00
15,FIP 138,Sat,7:00,22:00
24,FIP 121,Mon,10:30,11:30
15-Mar,EME 1151,Fri,10:30,12:30
14,EME 1101,Mon,17:30,20:00
2,FIP 139,Tue,8:30,12:30
29,ART 204,Sat,9:00,15:00
5,EME 2141,Sat;Sun,7:00,22:00
13,ART 106,Fri,12:30,14:00
25,ART 204,Tue,8:00,10:00
27,ART 202,Thu,18:00,21:00
31,EME 1151,Thu,13:30,16:00
36,ART 214,Fri,8:30,12:30
36,FIP 204,Fri,8:30,12:30
51-52,LIB L304,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
16,FIP 140,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
31,EME 2202,Sun,9:00,13:00
46-51,EME 1121,Mon;Thu,13:00,16:30
29,ART 204,Fri,16:30,20:00
15-Mar,EME 2202,Mon,10:30,12:30
16,SCI 247,Wed,17:00,20:00
17,ART 206,Sat,12:30,18:00
28,ART 208,Tue,16:30,20:00
14,ART 112,Wed,10:30,12:30
1,ART 103,Thu;Fri;Sat;Sun,7:00,22:00
11,LIB L306,Thu,15:30,17:30
34,ART 208,Thu,12:30,16:30
20-25;27-33,SCI 234,Tue,16:00,17:00
15,ART 102,Mon,10:30,12:30
25,ART 365,Mon,15:30,16:30
15-Mar,FIP 140,Wed,9:30,10:30
34-36,ART 110,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,ART 219,Tue,11:30,12:30
14,LIB L306,Sat,8:00,22:00
31,EME 0050,Wed,19:30,21:30
27-32,FIP 138,Tue,9:30,11:00
16,EME 2181,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
15,ART 203,Sat,9:00,17:00
27,EME 0050,Sat,8:00,22:00
15-Mar,ART 108,Tue;Thu,15:00,16:30
28,ART 102,Fri,8:30,10:00
51-52,LIB L304,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
17,SCI 333,Tue,8:30,12:30
31,EME 1202,Sun,7:00,22:00
1,FIP 204,Tue;Wed;Fri;Sat,8:00,20:00
34-36,ART 206,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
1,ART 102,Wed;Thu;Fri;Sat;Sun,7:00,22:00
11,FIP 239,Thu,15:30,17:30
16,ART 106,Fri,12:30,14:30
13,ART 281,Fri,13:30,15:30
16-18,FIP 239,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
16,FIP 250,Mon;Tue;Wed;Thu;Fri;Sun,7:00,22:00
14,ART 374,Fri,13:00,16:00
34,FIP 129,Wed,8:30,12:30
20-25;27-33,LIB L317,Mon;Wed;Fri,9:30,10:30
16,ART 104,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
52,ART 382,Mon;Tue;Wed;Thu;Fri,7:00,22:00
17,EME 2141,Tue;Wed;Thu;Fri,9:00,21:00
34-36,ART 104,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
16,ART 281,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
8,FIP 204,Thu,18:00,20:00
27,ART 103,Wed,20:00,22:00
15-Mar,LIB L317,Tue;Thu,8:00,9:30
16,EME 2111,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
27,ART 110,Mon,18:00,21:00
35,ART 214,Fri,12:30,16:30
29,ART 108,Mon,10:30,12:00
15-May,SCI 247,Sat,9:00,15:00
15-Mar,EME 2202,Tue,8:30,10:30
21,LIB 303,Fri,19:00,21:00
26,ART 106,Wed,10:00,14:00
16,ART 382,Wed,9:00,12:00
15-Mar,EME 1101,Tue;Thu,8:00,9:30
17,FIP 124,Mon;Tue;Wed;Thu;Fri;Sat,7:00,14:00
5,EME 1101,Wed,19:30,21:30
31,EME 1153,Sun,7:00,22:00
45,ART 386,Mon;Tue;Wed;Thu;Fri,7:00,22:00
27,EME 1101,Sat,9:00,13:00
15-Mar,ART 202,Thu,17:00,20:00
2,EME 2205,Wed,10:00,13:30
6,LIB L317,Fri,17:00,18:30
3,SCI 396,Thu;Fri,17:00,21:30
14,ART 206,Sat,7:00,16:00
5,SCI 247,Mon,14:30,18:30
25,ART 382,Tue,7:00,9:00
13,EME 1121,Thu,16:30,19:00
34-36,ART 202,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-May,SCI 337,Tue,19:00,20:00
28,EME 2202,Thu,9:00,12:00
7,ART 382,Tue,12:30,14:30
20-25;27-33,FIP 129,Wed,9:30,12:30
27,FIP 124,Tue,18:30,21:30
15,ART 114,Sat,9:00,17:00
33,EME 1202,Fri,8:00,17:00
17,ART 281,Thu,14:00,15:00
31,EME 2141,Sat,7:00,18:00
17,ART 203,Thu,11:30,12:30
16,EME 2181,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
5,ART 110,Fri,10:30,12:00
24,LIB L317,Wed,15:30,17:30
36,ART 374,Mon,12:30,16:30
27,EME 1151,Wed,18:30,20:30
15-Apr,SCI 236,Mon;Wed,9:30,11:00
2,EME 2205,Mon,17:00,22:00
5,EME 2181,Sat,12:00,13:00
16;18,FIP 138,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,FIP 129,Mon,18:00,20:00
20-25;27-33,ART 214,Mon;Wed,14:00,15:30
25,ART 365,Mon,17:00,21:30
15-Mar,SCI 333,Mon;Wed;Fri,9:30,10:30
16,FIP 140,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
13,FIP 140,Sat,8:00,18:00
39-44,ART 215,Mon;Wed,17:30,19:30
35,ART 386,Thu,17:30,21:30
15-Mar,LIB L317,Mon;Wed;Fri,9:30,10:30
15-May,ART 386,Tue,19:00,20:00
1,ART 214,Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,ART 108,Tue;Thu,9:30,11:00
20-22,EME 2202,Mon;Wed;Thu;Fri,13:30,16:30
15-Apr,ASC 165,Mon,12:30,14:00
34,ART 215,Wed,8:30,12:30
1,ART 281,Thu;Fri;Sat;Sun,7:00,22:00
34-36,ART 104,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,EME 1101,Mon;Wed;Fri,11:30,12:30
34-36,ART 219,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,EME 1202,Mon;Wed,15:30,17:00
25,ART 108,Mon,10:30,12:00
1,ART 214,Thu;Fri;Sat;Sun,7:00,22:00
31,LIB L306,Tue,11:00,14:30
27,FIP 250,Tue,16:30,20:30
15-Apr,ART 214,Thu,14:00,15:00
37-50,LIB L306,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
21-33,ART 110,Fri,14:00,15:30
38,ART 106,Sat,14:00,16:30
10,EME 2202,Fri,15:30,22:00
50,EME 2181,Mon;Tue;Wed;Thu;Fri,9:00,16:00
8,ART 215,Sun,10:30,12:00
5,EME 2111,Tue,15:00,16:30
25,EME 2111,Fri,17:00,22:00
34,ASC 130,Thu,12:30,16:30
15-Mar,ART 204,Mon;Wed,12:30,14:00
7,ART 382,Fri,8:00,9:30
36,FIP 133,Mon,8:30,12:30
34-36,ART 218,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,EME 0050,Mon;Wed;Fri,10:30,11:30
20-25;27-33,EME 0050,Mon;Wed;Fri,8:30,9:30
2,LIB L312,Thu,8:30,12:30
15-Mar,FIP 139,Tue;Thu,9:30,11:00
2,ART 386,Sun,8:00,18:00
17,ART 214,Mon,17:30,21:30
4,ART 102,Sun,8:00,18:30
15-Mar,SCI 333,Tue;Thu,14:00,15:30
35,SCI 247,Sat,17:30,21:30
1,ART 382,Thu;Fri;Sat;Sun,7:00,22:00
27,EME 0050,Wed,19:30,21:30
42,ART 114,Mon;Tue;Wed;Thu;Fri,7:00,22:00
36,SCI 396,Tue,8:30,12:30
15-Mar,ART 102,Thu,9:30,12:30
35,ART 114,Tue,8:30,12:30
34-36,ART 112,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
20;22;24;28;30;32,ART 114,Tue,12:30,14:00
22,ART 374,Fri,9:00,14:00
20-25;27-33,FIP 140,Tue;Thu,15:30,17:00
20-25;27-33,SCI 126,Wed,12:30,13:30
15-Apr,SCI 333,Mon,14:00,15:30
40-42,ART 102,Mon;Tue;Wed;Thu;Fri,8:30,11:30
1,ART 202,Thu;Fri;Sat;Sun,7:00,22:00
34-36,EME 1153,Mon;Tue;Wed;Thu;Fri,7:00,22:00
51-52,LIB L306,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
13,EME 1153,Thu,12:30,14:00
5,FIP 139,Sat,7:00,20:00
30,EME 2202,Wed,13:00,16:00
15-Mar,EME 0050,Mon;Wed;Fri,10:30,11:30
16,EME 2181,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
29,ART 281,Mon,18:00,20:00
10,ART 382,Wed,19:30,21:00
14,ART 104,Mon,18:00,20:00
34-36,ART 112,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
11,FIP 139,Thu,11:00,14:30
10,FIP 140,Mon,9:30,11:00
15-Mar,ASC 165,Thu,15:30,17:00
52,ART 374,Mon;Tue;Wed;Thu;Fri,7:00,22:00
14,LIB L302,Mon,15:30,18:00
34,EME 2141,Thu,17:30,21:30
10,EME 2141,Sat,7:00,17:00
13,ASC 130,Thu,17:00,19:00
31,EME 2141,Fri,16:00,18:00
36,FIP 138,Mon;Tue;Wed;Thu;Fri,9:00,16:00
16,LIB 303,Wed;Thu;Fri;Sat;Sun,19:00,21:00
5;7;9-13;15,LIB L306,Mon,14:00,16:00
27,ART 206,Thu,17:00,20:00
15-Mar,ART 218,Wed;Fri,12:30,14:00
5,ART 203,Sun,8:00,19:00
16,ART 206,Fri,12:30,14:30
16,LIB 303,Wed;Thu;Fri;Sat;Sun,19:00,21:00
27,ART 374,Wed,18:00,21:00
35,EME 0050,Tue,8:30,12:30
20-25;27-33,LIB L306,Mon,12:00,13:30
15-Mar,ART 203,Tue,16:30,17:30
15-Mar,EME 1151,Mon;Wed,15:30,17:00
27,FIP 250,Thu,12:00,13:30
20-25;27-33,LIB L304,Tue;Thu,9:30,11:00
22,ART 208,Tue,14:00,16:00
29,EME 1202,Sat,12:00,16:00
34-36,ART 110,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
26,ART 203,Wed,10:00,14:00
1,ART 112,Fri,11:00,13:00
35,ART 214,Sat,17:30,21:30
35,EME 2205,Tue,8:30,12:30
4,EME 0050,Fri,16:00,18:00
15-Mar,FIP 139,Tue;Thu,15:30,17:00
15-Mar,SCI 396,Mon;Wed;Fri,11:30,12:30
28,FIP 138,Tue,13:00,14:00
2,LIB L317,Thu,8:30,12:30
15-Mar,FIP 140,Tue;Thu,15:30,17:00
17,EME 2141,Tue;Wed;Thu;Fri,9:00,21:00
34,SCI 396,Wed,8:30,12:30
